p,t,h,so,s,T
3,500,20.95,0.93,0.765,
3,750,22.25,0.93,0.73,415.2
3,1000,24.5,0.925,0.69,416.1
3,1500,27.85,0.93,0.655,415.1
3,2000,29.3,0.92,0.615,416.1
3,2500,31.95,0.9,0.537,415.2
3,3000,35.5,0.94,0.51,415.1
3,3500,37.35,0.88,0.425,415.2
3,4000,44.05,0.93,0.38,415.2
3,4244,47.8,0.925,0.365,
3.5,1000,28.3,0.935,0.635,415.2
3.5,1500,33.4,0.93,0.57,415.1
3.5,2000,41.7,0.93,0.43,415.3
3.5,2515,47.35,0.86,0.25,415.3
4,500,26,0.94,0.682,415.3
4,1000,35.4,0.935,0.515,415.9
4,1250,40.5,0.935,0.433,415.3
4,1534,47.7,0.87,0.25,415.2
5,180,24.5,0.945,0.695,415.4
5,360,31,0.95,0.6,415.2
5,540,38.4,0.945,0.458,415.1
5,576,44.2,0.945,0.36,415
6,90,24.15,0.95,0.7,414.6
6,180,30.65,0.95,0.589,415.2
6,270,38.6,0.95,0.443,415
6,305,45.3,0.94,0.36,415.6
3,9.049331000000000e+03,50.44342,1,0.300729083333333

